iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,progress
AZE,Azerbaijan,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.1889,Europe and Central Asia,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AZE,Azerbaijan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2023,18.4198,Europe and Central Asia,Upper middle income,Recent (≤5 years),1,Excl. Breastfeeding,Off track
AZE,Azerbaijan,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,11.0353,Europe and Central Asia,Upper middle income,Recent (≤5 years),4,Low Birth Weight,On track
BDI,Burundi,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,39.0,Sub-Saharan Africa,Low income,Recent (≤5 years),1,Anaemia (WRA),On track
BDI,Burundi,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,55.2516,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Stunting,Off track
BDI,Burundi,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.3776,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
BDI,Burundi,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,83.3,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Excl. Breastfeeding,On track
BDI,Burundi,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,14.7769,Sub-Saharan Africa,Low income,Recent (≤5 years),4,Low Birth Weight,On track
BEL,Belgium,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,15.0,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
BEL,Belgium,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.6124,Europe and Central Asia,High income,Recent (≤5 years),0,Stunting,On track
BEL,Belgium,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.9067,Europe and Central Asia,High income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
BEL,Belgium,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,6.7562,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
BEN,Benin,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,50.0,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
