iso3,country,year,indicator,indicator_short,layer,value,years_since,region,income_group,nis_readiness_score,layer1_score,layer2_score
AUREC_EAC,East African Community (EAC),2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,33.7672,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,4.2803,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,NT_BF_EIBF,Early BF Initiation,Layer 2,65.0098,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,NT_BF_EXBF,Excl. BF,Layer 1,59.4807,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2020,NT_BW_LBW,Low Birth Weight,Layer 1,11.3119,4,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,NT_CF_MAD,Min Acceptable Diet,Layer 2,10.9494,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,NT_CF_MDD,Min Dietary Diversity,Layer 2,18.9743,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,NT_CF_MMF,Min Meal Frequency,Layer 2,40.8344,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,IM_DTP3,DTP3 Coverage,Layer 2,69.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,50.3,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,79.9,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,39.8042,1,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,40.4418,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,5.1079,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,NT_BF_EIBF,Early BF Initiation,Layer 2,55.8239,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,NT_BF_EXBF,Excl. BF,Layer 1,45.7325,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2020,NT_BW_LBW,Low Birth Weight,Layer 1,12.2137,4,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,NT_CF_MAD,Min Acceptable Diet,Layer 2,11.6337,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,NT_CF_MDD,Min Dietary Diversity,Layer 2,18.8143,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECCAS,Economic Community of Central African States (ECCAS),2024,NT_CF_MMF,Min Meal Frequency,Layer 2,34.7417,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,IM_DTP3,DTP3 Coverage,Layer 2,75.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,60.2,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,61.9,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,40.324,1,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,29.344,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,2.228,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,NT_BF_EIBF,Early BF Initiation,Layer 2,38.8503,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,NT_BF_EXBF,Excl. BF,Layer 1,33.9591,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2020,NT_BW_LBW,Low Birth Weight,Layer 1,13.7439,4,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,NT_CF_MAD,Min Acceptable Diet,Layer 2,8.4197,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,NT_CF_MDD,Min Dietary Diversity,Layer 2,18.454,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),2024,NT_CF_MMF,Min Meal Frequency,Layer 2,37.5535,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS 2025),2024,IM_DTP3,DTP3 Coverage,Layer 2,72.0,0,,,5.0,0.0,10.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,IM_DTP3,DTP3 Coverage,Layer 2,73.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,56.4,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,70.3,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,28.8966,1,,,76.66666666666667,83.33333333333334,70.0
