iso3,country,region,income_group,Anaemia (WRA),Excl. Breastfeeding,Low Birth Weight,Overweight,Stunting
TON,Tonga,East Asia and Pacific,Upper middle income,20.7,39.5748,,9.4648,1.6145
TTO,Trinidad and Tobago,Latin America and Caribbean,High income,22.1,30.4509,16.2741,14.9765,7.7989
TUN,Tunisia,Middle East and North Africa,Lower middle income,27.7,17.8167,8.2371,17.479,8.8729
TUR,تركيا,Europe and Central Asia,Upper middle income,29.3,40.7,12.8968,7.7012,5.5059
TUV,Tuvalu,East Asia and Pacific,Upper middle income,23.2,43.7958,,4.0729,5.2585
TZA,United Republic of Tanzania,Sub-Saharan Africa,Lower middle income,38.8,64.3,9.7036,4.733,29.9333
UGA,Uganda,Sub-Saharan Africa,Low income,27.2,65.4631,,4.229,23.4973
UKR,Ukraine,Europe and Central Asia,Lower middle income,19.4,19.7287,5.726,15.9817,11.6714
URY,Uruguay,Latin America and Caribbean,High income,24.5,51.3423,7.803,13.4986,6.5222
USA,United States,North America,High income,15.0,25.7992,8.2614,9.694,4.2096
UZB,Uzbekistan,Europe and Central Asia,Lower middle income,30.4,25.2042,5.8485,5.5178,6.6985
VCT,Saint Vincent and the Grenadines,Latin America and Caribbean,Upper middle income,18.8,,,,
VEN,Venezuela (Bolivarian Republic of),Latin America and Caribbean,Upper middle income,25.2,,9.3029,7.3194,11.665
VNM,Viet Nam,East Asia and Pacific,Lower middle income,20.5,45.4294,6.3112,10.5078,19.1648
VUT,Vanuatu,East Asia and Pacific,Lower middle income,30.4,75.9419,13.0626,5.5,31.037
WSM,Samoa,East Asia and Pacific,Lower middle income,21.9,51.7396,,9.4475,8.4156
YEM,Yemen,Middle East and North Africa,Low income,36.4,9.6996,,1.6736,47.412
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,31.2,31.6147,16.6384,12.8154,24.3791
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,27.1,64.1,11.2469,6.3325,32.3429
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,27.5,42.4,11.8297,3.9648,23.7133
